xcelium> run
Time=                   0 | SCL=1 | SDA=1 | END=xxxxxxx | OP=x | ESC=x | STOP=x
Time=              173300 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              178300 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              181600 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              184900 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              188200 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              194800 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              198100 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              201400 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              204700 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              208000 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              214600 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              217900 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              221200 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              224500 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              227800 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              231100 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              234400 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              237700 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              244300 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              247600 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              250900 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              254200 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              257500 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              260800 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              264100 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              265500 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=1 | STOP=0
Time=              266500 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              267400 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              274000 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              277300 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              278500 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=1
Time=              279500 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              335600 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              340600 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              343900 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              347200 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              350500 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              353800 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              357100 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              360400 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              363700 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              367000 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              370300 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              373600 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              376900 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              380200 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              383500 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              386800 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              390100 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              393400 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              396700 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              400000 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              403300 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              406600 | SCL=1 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              409900 | SCL=0 | SDA=1 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              413200 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              416500 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              419800 | SCL=0 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              426400 | SCL=1 | SDA=0 | END=1100100 | OP=0 | ESC=0 | STOP=0
Time=              427500 | SCL=1 | SDA=0 | END=1010101 | OP=0 | ESC=0 | STOP=0
Time=              429700 | SCL=0 | SDA=0 | END=1010101 | OP=0 | ESC=0 | STOP=0
Time=              436300 | SCL=1 | SDA=0 | END=1010101 | OP=0 | ESC=0 | STOP=0
Time=              439600 | SCL=1 | SDA=1 | END=1010101 | OP=0 | ESC=0 | STOP=0
Time=              441500 | SCL=1 | SDA=1 | END=1010101 | OP=0 | ESC=0 | STOP=1
Time=              442500 | SCL=1 | SDA=1 | END=1010101 | OP=0 | ESC=0 | STOP=0
Simulation complete
Simulation complete via $finish(1) at time 4929 NS + 0
./tb_dec_i2c.sv:64         $finish;
xcelium> ^C
xcelium> exit
TOOL:	xrun(64)	24.09-s001: Exiting on Apr 30, 2025 at 11:39:48 -03  (total: 00:00:36)
